co_carta_consulta,no_projeto,sg_projeto,sg_fonte,va_dolar,no_unidade_federal,co_sujeito,no_tecnico,no_setor,informacoes,fase,dt_assinatura,dt_ultimo_desembolso_vigente,no_abrangencia_nacional,aggregation,tipo_operacao,co_executor,no_executor
"59712","DOAÇÃO - Fortalecimento Institucional do Ministério Público do Estado de Minas Gerais","DOAÇÃO MINISTÉRIO PÚBLICO - MG","BIRD/IFC","399300.0","Estado de Minas Gerais","845","Marcus Cesar Ribeiro Barretto","Administração","Tel. (61) 2020-4855","Finalizada","19/01/2010 00:00","19/01/2013 00:00","Estadual","2272","Doação","467","Ministério Público do Estado de Minas Gerais - MPMG"
"59808","Projeto Minas Solar 2014","MINEIRÃO SOLAR","KfW","1.3561001E7","Estado de Minas Gerais","310","Necy Yonamine","Energia","(61) 2020-4811","Em execução","14/12/2012 00:00","","Estadual","2272","Financiamento","310","Cemig Geração e Transmissão S/A"
"60001","Atualização Tecnológica de Sistemas de Tratamento de Esgoto e de Resíduos de Tratamento de Água para Aumentar a Eficiência Energética e a Eficácia dos Processos de Tratamento.","Atualização Tecnológica - ETE - UTR","KfW","3.967863E7","Estado de Minas Gerais","153","Humberto Leite Freitas Filho","Saneamento","(61) 2020-4837","Em preparação","","","Estadual","2272","Financiamento","153","Companhia de Saneamento de Minas Gerais - COPASA"
"59715","Programa de Despoluição da Bacia do Rio Paraopeba","PROGRAMA  PARAOPEBA","KfW","1.41735408E8","Estado de Minas Gerais","153","Necy Yonamine","Saneamento","(61) 2020-4811","Em execução","29/11/2011 00:00","20/12/2016 00:00","Estadual","2272","Financiamento","153","Companhia de Saneamento de Minas Gerais - COPASA"
"58397","Programa de Subtransmissao e Distribuicao para o Vale do Jequitinhonha","VALE JEQUITINHONHA","KfW","1.33E7","Estado de Minas Gerais","337","Cadmo Soares Gomes","Transporte","","Finalizada","02/09/1996 00:00","31/12/1999 00:00","Estadual","2272","Financiamento","337","Companhia Energética de Minas Gerais - CEMIG"
"59710","Projeto Estádios Solares","Estádios Solares CEMIG-KfW","KfW","1.0E7","Estado de Minas Gerais","337","Tânia Delfino Ribeiro","Energia","(61) 2020-4819","Arquivado","","","Estadual","2272","Financiamento","337","Companhia Energética de Minas Gerais - CEMIG"
"59719","Projeto Repotenciação de Pequenas Centrais Hidrelétricas (PCHs)","PCHs CEMIG-KfW","KfW","1.71144956E8","Estado de Minas Gerais","337","Tânia Delfino Ribeiro","Energia","(61) 2020-4819","Arquivado","","","Estadual","2272","Financiamento","337","Companhia Energética de Minas Gerais - CEMIG"
"58428","Interiorização das Telecomunicações em Minas Gerais","TELEC.RURAIS/MG","KfW","1.0E8","Estado de Minas Gerais","812","Antônio Sabino da Costa Filho","Comunicações","","Arquivado","","","Estadual","2272","Financiamento","812","Telemig Celular - Minas Gerais"
"59456","Projeto de Proteção da Mata Atlântica de Minas Gerais - Fase II","Promata II","KfW/DOAÇÃO","1.0744E7","Estado de Minas Gerais","845","Tânia Delfino Ribeiro","Gestão Ambiental","(61) 2020-4819","Em execução","03/12/2009 00:00","31/12/2014 00:00","Estadual","2272","Doação","429","Instituto Estadual de Florestas - IEF"
"58536","Programa de Proteção da Mata Atlantica de Mg - PROMATA","PROMATA-MG","PPG7","6847000.0","Estado de Minas Gerais","845","Leny Maria Corazza","Gestão Ambiental","(61) 2020-4358","Finalizada","01/04/2003 00:00","31/12/2007 00:00","Estadual","2272","Doação","429","Instituto Estadual de Florestas - IEF"
"59646","Projeto de Diagnóstico para Eficiência Energética (Doação)","DOAÇÃO CEMIG","BID/SECCI","3789473.0","Estado de Minas Gerais","337","Humberto Leite Freitas Filho","Energia","(61) 2020-4837","Finalizada","09/07/2008 00:00","28/02/2010 00:00","Estadual","2272","Doação","337","Companhia Energética de Minas Gerais - CEMIG"
"60068","Programa de Apoio à Inovação e Melhoria da Produtividade Industrial de Minas Gerais","","BID","5.0E7","Estado de Minas Gerais","845","Camila Medina Chagas","Indústria"," ","Em preparação","","","Estadual","2272","Financiamento","603","Secretaria de Desenvolvimento Econômico do Estado de Minas Gerais"
"60056","Programa de Fortalecimento da Segurança Cidadã","Segurança Cidadã/MG","BID","7.0E7","Estado de Minas Gerais","845","Camila Medina Chagas","Segurança Pública"," ","Aguardando Assinatura","","","Estadual","2272","Financiamento","1321","Secretaria de Estado de Defesa Social"
"59969","Programa Minas Investe","Minas Investe","Citibank","2.804E8","Estado de Minas Gerais","845","Humberto Leite Freitas Filho","Transporte","(61) 2020-4837","Em preparação","","","Estadual","2272","Financiamento","646","Secretaria de Estado de Planejamento e Gestão de Minas Gerais"
"13071","Programa Caminhos de Minas","Caminhos de Minas/CAF","CAF","3.0E8","Estado de Minas Gerais","845","Wanda Dias Fonseca Taquary","Transporte","(61) 2020-4847","Arquivado","","","Estadual","2272","Financiamento","745","Secretaria Estadual de Transportes e Obras Públicas de Minas Gerais "
"59969","Programa Minas Investe","Minas Investe","Deutsche Bank","2.804E8","Estado de Minas Gerais","845","Humberto Leite Freitas Filho","Transporte","(61) 2020-4837","Em preparação","","","Estadual","2272","Financiamento","646","Secretaria de Estado de Planejamento e Gestão de Minas Gerais"
"59431","Programa de Desenvolvimento Urbano, Ambiental e Social do Município de Barbacena","BARBACENA - CAMINHOS PARA O FUTURO","FONPLATA","1.25E7","Estado de Minas Gerais","887","Necy Yonamine","Urbanismo","(61) 2020-4811","Arquivado","","","Municipal","2272","Financiamento","767","Secretaria Municipal de Infra-Estrutura e Política Urbana - MG"
"59717","Programa de Infra-Estrutura e Desenvolvimento Urbano do Município de Barbacena","INFRA-ESTRUTURA/BARBACENA - MG","FONPLATA","1.25E7","Estado de Minas Gerais","887","Necy Yonamine","Urbanismo","(61) 2020-4811","Arquivado","","","Municipal","2272","Financiamento","768","Secretaria Municipal de Infra-Estrutura e Política Urbana de Barbacena - MG"
"59939","Financiamento de Investimentos Previstos no Programa de Governo e no Orçamento Participativo","Programa de Governo e Orçamento Participativo","BB AG VIENA","2.0E8","Estado de Minas Gerais","893","Humberto Leite Freitas Filho","Urbanismo","(61) 2020-4837","Em preparação","","","Municipal","2272","Financiamento","1402","Superintendência de Desenvolvimento da Capital - SUDECAP "
"59825","Programa de Recuperação da Bacia Hidrográfica da Pampulha","PAMPULHA VIVA","BB AG VIENA","7.5E7","Estado de Minas Gerais","893","Camila Medina Chagas","Gestão Ambiental"," ","Finalizada","23/12/2013 00:00","31/12/2013 00:00","Municipal","2272","Financiamento","482","Prefeitura Municipal de Belo Horizonte - MG"
"59798","Programa de Recuperação Ambiental de Belo Horizonte - Programa DRENURBS - Suplementar à 1ª Etapa","DRENURBS - SUPLEMENTAR","BID","5.5E7","Estado de Minas Gerais","893","Wanda Dias Fonseca Taquary","Urbanismo","(61) 2020-4847","Em execução","18/12/2013 00:00","18/12/2018 00:00","Municipal","2272","Financiamento","790","Secretaria Municipal de Políticas Urbanas de Belo Horizonte - SMURBE"
"58906","Programa de Recuperação Ambiental de Belo Horizonte (DRENURBS)","BH.DRENURBS - 1ª FASE","BID","4.65E7","Estado de Minas Gerais","893","Humberto Leite Freitas Filho","Saneamento","(61) 2020-4837","Finalizada","02/07/2004 00:00","02/07/2011 00:00","Municipal","2272","Financiamento","482","Prefeitura Municipal de Belo Horizonte - MG"
"59761","Programa Nacional de Desenvolvimento do Turismo - PRODETUR Nacional Belo Horizonte","PRODETUR Nacional Belo Horizonte","BID","2.82E7","Estado de Minas Gerais","893","Rosangela Moreira Castelo Branco","Comércio e Serviços","(61) 2020-4809","Em preparação","","","Municipal","2272","Financiamento","386","Empresa Municipal de Turismo de Belo Horizonte - BELOTUR"
"58964","Programa BH - Vilas Urbanizadas","VILAS URBANIZADAS-BH","BIRD","3.41E7","Estado de Minas Gerais","893","Cadmo Soares Gomes","Agricultura","","Arquivado","","","Municipal","2272","Financiamento","790","Secretaria Municipal de Políticas Urbanas de Belo Horizonte - SMURBE"
"59831","Projeto de Desenvolvimento Urbano e Integração com a Região Metropolitana","DESENVOLVIMENTO URBANO - RMBH","BIRD","2.0E8","Estado de Minas Gerais","893","Rosangela Moreira Castelo Branco","Encargos Especiais","(61) 2020-4809","Em execução","10/12/2013 00:00","31/12/2014 00:00","Municipal","2272","Financiamento","482","Prefeitura Municipal de Belo Horizonte - MG"
"59744","Doação - Projeto Mobilidade RMBH: Otimização e Melhoria  da Mobilidade da Região Metropolitana de Belo Horizonte","DOAÇÃO Mobilidade da RMBH","BID/INFRAFUND","400000.0","Estado de Minas Gerais","845","Wanda Dias Fonseca Taquary","Urbanismo","(61) 2020-4847","Finalizada","23/03/2011 00:00","23/03/2013 00:00","Municipal","2272","Doação","0",""
"59034","Doação - Programa BH - Vilas Urbanizadas","DOAÇÃO VILAS URBAN. BH","WB-JG","1845000.0","Estado de Minas Gerais","893","Cadmo Soares Gomes","Agricultura","","Arquivado","","","Municipal","2272","Doação","482","Prefeitura Municipal de Belo Horizonte - MG"
"58954","Programa de Infra-Estrutura Urbana de Belo Oriente","URBANO BELO ORIENTE","FONPLATA","6420000.0","Estado de Minas Gerais","894","Necy Yonamine","Saneamento","(61) 2020-4811","Arquivado","","","Municipal","2272","Financiamento","0",""
"59414","Projeto de Revitalização Urbana e Recuperação Ambiental da Bacia do Rio Betim","PROJETO RIO BETIM II","BIRD","1.5103E7","Estado de Minas Gerais","896","Ronald Ferreira de Melo","Urbanismo","(61) 2020-4814","Arquivado","","","Municipal","2272","Financiamento","484","Prefeitura Municipal de Betim - MG"
"57872","Projeto de Revitalização Urbana e Recuperação Ambiental da Bacia do Rio Betim - PROJETO RIO BETIM","BETIM URBANO - MG","BIRD","2.4075E7","Estado de Minas Gerais","896","Sandra Maria de Carvalho Amaral","Urbanismo","(61) 2020-4813","Finalizada","18/01/2005 00:00","30/06/2010 00:00","Municipal","2272","Financiamento","484","Prefeitura Municipal de Betim - MG"
"58307","Centro Tecnológico de Mecatrônica/Prefeitura Municipal de Betim","TECN DE MECATRÔNICA","ITALIA","6000000.0","Estado de Minas Gerais","896","Ronald Ferreira de Melo","Ciência e Tecnologia","(61) 2020-4814","Arquivado","","","Municipal","2272","Financiamento","0",""
"58106","Doação p/o Projeto de Revitalização Urbana e Recuperação Ambiental do Rio Betim","DOAÇÃO RIO BETIM","WB-JG","1300000.0","Estado de Minas Gerais","896","Rosangela Moreira Castelo Branco","Urbanismo","(61) 2020-4809","Arquivado","","","Municipal","2272","Doação","484","Prefeitura Municipal de Betim - MG"
"59743","Programa de Ampliação de Sistema Viário no Município de Contagem - MG","PROVIA-Implantação da Av. Maracanã","CAF","7.1306975E7","Estado de Minas Gerais","919","Wanda Dias Fonseca Taquary","Urbanismo","(61) 2020-4847","Arquivado","","","Municipal","2272","Financiamento","297","Autarquia Municipal de Trânsito e Transportes - TRANSCON"
"59731","Projeto de Sustentabilidade Fiscal do Município de Contagem","SUSTENTABILIDADE FISCAL CONTAGEM","CAF","2.5E7","Estado de Minas Gerais","919","Rosangela Moreira Castelo Branco","Administração","(61) 2020-4809","Arquivado","","","Municipal","2272","Financiamento","759","Secretaria Municipal de Fazenda de Belo Horizonte - MG"
"59234","Programa de Desenvolvimento Urbano, Social e Ambiental do Município de Ipatinga","IPATINGA + HUMANA","FONPLATA","1.925E7","Estado de Minas Gerais","943","Manuella Damasceno Louzada","Urbanismo","","Arquivado","","","Municipal","2272","Financiamento","508","Prefeitura Municipal de Ipatinga - MG"
"59792","Doação - Sistema Integrado de Transporte de Juiz de Fora","DOAÇÃO-TRANSPORTE JUIZ DE FORA-MG","BID","783000.0","Estado de Minas Gerais","951","Necy Yonamine","Administração","(61) 2020-4811","Arquivado","","","Municipal","2272","Doação","695","Secretaria de Planejamento e Desenvolvimento Econômico / Secretaria de Transporte e Trânsito"
"58936","Projeto de Revitalização Urbana e Recuperação Ambiental do Eixo Paraibuna","EIXO PARAIB.-JUIZ DE FORA","BID","1.925E7","Estado de Minas Gerais","951","Necy Yonamine","Saneamento","(61) 2020-4811","Arquivado","","","Municipal","2272","Financiamento","514","Prefeitura Municipal de Juiz de Fora - MG"
"59426","Projeto de Revitalização Urbana e Recuperação Ambiental do Eixo Paraibuna - MG","PROJETO EIXO PARAIBUNA","BID","1.0E7","Estado de Minas Gerais","951","Necy Yonamine","Urbanismo","(61) 2020-4811","Arquivado","","","Municipal","2272","Financiamento","783","Secretaria Municipal de Planejamento e Gestão Estratégica - SPGE"
"58345","Recuperação Ambiental e da Qualidade das Águas da Sub-Bacia do Rio Paraibuna","BACIA DO PARAIBUNA","BID","9707000.0","Estado de Minas Gerais","951","Rosangela Moreira Castelo Branco","Saneamento","(61) 2020-4809","Arquivado","","","Municipal","2272","Financiamento","514","Prefeitura Municipal de Juiz de Fora - MG"
"59571","Programa de Desenvolvimento Urbano e Ambiental do Município de Lavras - MG","LAVRAS QUE TE QUERO  BEM","FONPLATA","2.5E7","Estado de Minas Gerais","956","Antônio Sabino da Costa Filho","Gestão Ambiental","","Arquivado","","","Municipal","2272","Financiamento","686","Secretaria de Obras do Município de Lavras - MG"
"59460","Programa de Desenvolvimento Urbano do Município de Montes Claros","MONTES DO FUTURO","FONPLATA","2.0E7","Estado de Minas Gerais","969","Jandira Rocha Carvalho","Urbanismo","","Arquivado","","","Municipal","2272","Financiamento","781","Secretaria Municipal de Planejamento e Coodernação Estratégica - SMPLA"
"59432","Projeto Provida","PROJETO PROVIDA","FONPLATA","2.1E7","Estado de Minas Gerais","984","Wanda Dias Fonseca Taquary","Urbanismo","(61) 2020-4847","Arquivado","","","Municipal","2272","Financiamento","144","Prefeitura Municipal de Pedro Leopoldo - MG"
"59341","Implantação de Sistema de Microdrenagem Urbana em Diversos Bairros do Município de Pouso Alegre - MG","POUSO ALEGRE  - MG","BID","3969000.0","Estado de Minas Gerais","992","Necy Yonamine","Urbanismo","(61) 2020-4811","Arquivado","","","Municipal","2272","Financiamento","533","Prefeitura Municipal de Pouso Alegre - MG"
"59517","Programa de Saneamento Integrado do Ribeirão das Neves - Bacia do Rio São Francisco","Bacia do Rio São Francisco","BID","1.551E7","Estado de Minas Gerais","997","Antônio Sabino da Costa Filho","Saneamento","","Arquivado","","","Municipal","2272","Financiamento","536","Prefeitura Municipal de Ribeirão das Neves - MG"
"59570","Programa de Desenvolvimento Sustentável do Município de Santa Luzia - MG","Cidade com Visão  de Futuro - MG","FONPLATA","4.25E7","Estado de Minas Gerais","1002","Sandra Maria de Carvalho Amaral","Urbanismo","(61) 2020-4813","Arquivado","","","Municipal","2272","Financiamento","685","Secretaria Municipal de Viação e Obras Públicas de Belo Horizonte"
"59254","Programa Integrado de Desenvolvimento Urbano e Inclusão Social de Sete Lagoas - MG","PRÓ-URBIS/SL","BID","1.455E7","Estado de Minas Gerais","1026","Humberto Leite Freitas Filho","Urbanismo","(61) 2020-4837","Arquivado","","","Municipal","2272","Financiamento","145","Prefeitura Municipal de Sete Lagoas - MG"
"58998","Recuperação  Ambiental da Bacia do Rio Uberaba e Revitalização do Sistema  de Abastecimento de Água","UBERABA-PROJETO ÁGUA VIVA","BIRD","1.727E7","Estado de Minas Gerais","1043","Necy Yonamine","Saneamento","(61) 2020-4811","Finalizada","19/05/2008 00:00","30/04/2013 00:00","Municipal","2272","Financiamento","563","Prefeitura Municipal de Uberaba - MG"
"58999","DOAÇÃO RECUPERAÇÃO AMBIENTAL DO RIO UBERABA","DOAÇÃO RIO UBERABA","WB-JG","500000.0","Estado de Minas Gerais","1043","Wanda Dias Fonseca Taquary","Saneamento","(61) 2020-4847","Finalizada","11/08/2004 00:00","31/05/2006 00:00","Municipal","2272","Doação","563","Prefeitura Municipal de Uberaba - MG"
"59979","Programa de Desenvolvimento Integrado do Município de Campo Grande - Viva Campo Grande II","Viva Campo Grande II","BID","5.6E7","Estado do Mato Grosso do Sul","907","Necy Yonamine","Urbanismo","(61) 2020-4811","Em preparação","","","Municipal","2272","Financiamento","491","Prefeitura Municipal de Campo Grande - MS"
"60063","Programa de Desenvolvimento Integrado de Corumbá","PDI - Corumbá","FONPLATA","4.0E7","Estado do Mato Grosso do Sul","920","Necy Yonamine","Urbanismo","(61) 2020-4811","Aguardando Assinatura","","","Municipal","2272","Financiamento","1485","Fundação de Desenvolvimento Urbano e Patrimônio Histórico - FUPHAN"
"59261","Doação - Levantamento de Bens Patrimoniais do Estado e Realização de Estudos para Implementação e Instituição do Fundo Garantidor das Parcerias Público-Privadas em Mato Grosso Sul","Doação Levantamento Patrimonial","BID","1500000.0","Estado do Mato Grosso do Sul","844","Necy Yonamine","Administração","(61) 2020-4811","Arquivado","","","Estadual","2272","Doação","411","Governo do Estado do Mato Grosso do Sul"
"59628","Doação - Plano de Desenvolvimento de Logística e Transportes de Mato Grosso do Sul - PELT","Doação Transportes PELT/MS","BID","1500000.0","Estado do Mato Grosso do Sul","844","Necy Yonamine","Administração","(61) 2020-4811","Arquivado","","","Estadual","2272","Doação","411","Governo do Estado do Mato Grosso do Sul"
"59262","Doação - Programa Estadual de Eficiência Energética","Doação Eficiência Energética-MS","BID","990000.0","Estado do Mato Grosso do Sul","844","Necy Yonamine","Administração","(61) 2020-4811","Arquivado","","","Estadual","2272","Doação","411","Governo do Estado do Mato Grosso do Sul"
"27832","Programa de Desenvolvimento do Turismo no Estado de Mato Grosso do Sul","PRODETUR NACIONAL - MS","BID","3.0E7","Estado do Mato Grosso do Sul","844","Rosangela Moreira Castelo Branco","Comércio e Serviços","(61) 2020-4809","Arquivado","","","Estadual","2272","Financiamento","658","Secretaria de Estado do Desenvolvimento Agrário, da Produção, do Comércio, da Indústria e do Turismo do Mato Grosso do Sul"
"59606","Programa de Modernização da Administração Tributária, Financeira e Patrimonial do Estado de Mato Grosso do Sul","PROFISCO - MS","BID","1.2E7","Estado do Mato Grosso do Sul","844","Isis Smidt Lara Resende","Administração","(61) 2020-4832","Em execução","29/10/2010 00:00","29/10/2016 00:00","Estadual","2272","Financiamento","638","Secretaria de Estado de Fazenda do Mato Grosso do Sul"
"57932","Conservação e Manejo de Solos - Mato Grosso do Sul","SOLOS - MS","BIRD","2.8E7","Estado do Mato Grosso do Sul","844","Marcelo Moisés de Paula","Agricultura","(61) 2020-4886","Arquivado","","","Estadual","2272","Financiamento","411","Governo do Estado do Mato Grosso do Sul"
"59696","Programa de Transportes e de Desenvolvimento Sustentável do Estado de Mato Grosso do Sul","PDE/MS","BIRD","3.0E8","Estado do Mato Grosso do Sul","844","Necy Yonamine","Transporte","(61) 2020-4811","Em execução","16/09/2010 00:00","30/06/2015 00:00","Estadual","2272","Financiamento","411","Governo do Estado do Mato Grosso do Sul"
"58857","Programa Nacional de Manutenção de Rodovias Estaduais - MS","RODOV. EST. MS","BIRD","4.44E7","Estado do Mato Grosso do Sul","844","Antônio Sabino da Costa Filho","Transporte","","Arquivado","","","Estadual","2272","Financiamento","411","Governo do Estado do Mato Grosso do Sul"
"58697","Programa de Fortalecimento Intitucional do Estado de Mato Grosso Do Sul","CAPTA.DE RECURSOS MS","WB-IDF","497000.0","Estado do Mato Grosso do Sul","844","Cadmo Soares Gomes","Administração","","Arquivado","","","Estadual","2272","Doação","411","Governo do Estado do Mato Grosso do Sul"
"58671","Prog. Melhoria e Ampliação dos Servs. Saneam. Bás. na Reg. da Bacia Rio Paraná","SANEAMENTO BÁSICO MS","FONPLATA","6800000.0","Estado do Mato Grosso do Sul","383","Necy Yonamine","Saneamento","(61) 2020-4811","Arquivado","","","Estadual","2272","Financiamento","383","Empresa de Saneamento de Mato Grosso do Sul"
"57952","Const. da Ponte Rodoviária 262, Miranda-Corumba","PONTE 262 - FONP","FONPLATA","1.34E7","Estado do Mato Grosso do Sul","844","Antônio Sabino da Costa Filho","Transporte","","Finalizada","12/02/1998 00:00","12/02/2000 00:00","Estadual","2272","Financiamento","411","Governo do Estado do Mato Grosso do Sul"
"57954","Pavimentação Asfáltica da Rod.Ms/141 Ivinhena-Navirai","MS - 141 - FONP","FONPLATA","2.0E7","Estado do Mato Grosso do Sul","844","Antônio Sabino da Costa Filho","Transporte","","Finalizada","28/02/1996 00:00","02/03/2003 00:00","Estadual","2272","Financiamento","0",""
"57953","Pavimentacao Asfaltica da Rod.Ms/384/474","MS 384 - 474 - FONP","FONPLATA","2.4E7","Estado do Mato Grosso do Sul","844","Antônio Sabino da Costa Filho","Transporte","","Finalizada","30/04/2002 00:00","30/10/2006 00:00","Estadual","2272","Financiamento","287","Agência de Desenvolvimento do Mato Grosso do Sul"
"59219","Projeto de Desenvolvimento Sócio-Ambiental de Corumbá (Estado MS)","PROJETO NOVO BAIRRO-MS","FONPLATA","1.0E7","Estado do Mato Grosso do Sul","844","Humberto Leite Freitas Filho","Urbanismo","(61) 2020-4837","Arquivado","","","Estadual","2272","Financiamento","289","Agência de Habitação Popular de Mato Grosso do Sul - AGEHAB"
"59039","Projeto de Melhoria da Infra-estrutura Viária da Região Sul-Fronteira","PROJETO FRONTEIRA - MS","FONPLATA","2.8E7","Estado do Mato Grosso do Sul","844","Wanda Dias Fonseca Taquary","Urbanismo","(61) 2020-4847","Finalizada","04/07/2006 00:00","30/06/2011 00:00","Estadual","2272","Financiamento","284","Agência  Estado de Gestão de Empreendimentos - AGESUL"
"59156","Projeto de Recuperação Ambiental de Áreas Degradadas do Mato Grosso do Sul","BIOCOM BRASIL","GEF","350000.0","Estado do Mato Grosso do Sul","435","Isis Smidt Lara Resende","Gestão Ambiental","(61) 2020-4832","Arquivado","","","Estadual","2272","Doação","435","Instituto Renovar"
"58612","Projeto Piloto de Assentamento Privado","ASSENTAMENTO PRIVADO","BID/FUMIN","690000.0","Estado do Mato Grosso do Sul","287","Cadmo Soares Gomes","Administração","","Arquivado","","","Estadual","2272","Doação","287","Agência de Desenvolvimento do Mato Grosso do Sul"
"59803","DOAÇÃO - Ampliação do Sistema de Esgotamento Sanitário de Ponta Porã - MS","ESGOTAMENTO SANITÁRIO DE PONTA PORÃ","FOCEM","4496136.0","Estado do Mato Grosso do Sul","383","Wanda Dias Fonseca Taquary","Urbanismo","(61) 2020-4847","Arquivado","","","Estadual","2272","Doação","383","Empresa de Saneamento de Mato Grosso do Sul"
"59353","Projeto de Desenvolvimento da Infra-Estrutura e Requalificação Urbana de Bela Vista - MS","Urbano Bela Vista - MS","FONPLATA","2400000.0","Estado do Mato Grosso do Sul","890","Leny Maria Corazza","Urbanismo","(61) 2020-4358","Arquivado","","","Municipal","2272","Financiamento","85","Prefeitura Municipal de Bela Vista - MS"
"58651","Programa de Modernização do Sistema Rodoviário Estadual","RODOVIAS PB","BID","7.68E7","Estado da Paraíba","840","Ronald Ferreira de Melo","Transporte","(61) 2020-4814","Arquivado","","","Estadual","2272","Financiamento","206","Governo do Estado da Paraíba"
"59286","Programa de Desenvolvimento Integrado do Município de Campo Grande/MS","VIVA CAMPO GRANDE","BID","1.9382E7","Estado do Mato Grosso do Sul","907","Necy Yonamine","Urbanismo","(61) 2020-4811","Finalizada","03/06/2008 00:00","03/06/2014 00:00","Municipal","2272","Financiamento","491","Prefeitura Municipal de Campo Grande - MS"
"59745","Programa de Desenvolvimento Integrado e Qualificação Urbana de Campo Grande - Viva Campo Grande - 2ª  etapa","VIVA CAMPO GRANDE - 2ª ETAPA","BID","5.0E7","Estado do Mato Grosso do Sul","907","Necy Yonamine","Urbanismo","(61) 2020-4811","Arquivado","","","Municipal","2272","Financiamento","491","Prefeitura Municipal de Campo Grande - MS"
"59126","Programa de Recuperação das Áreas Degradadas do Córrego Imbirussu","PROJETO IMBIRUSSU","FONPLATA","1.7061E7","Estado do Mato Grosso do Sul","907","Wanda Dias Fonseca Taquary","Urbanismo","(61) 2020-4847","Finalizada","06/09/2007 00:00","09/08/2011 00:00","Municipal","2272","Financiamento","793","Secretaria Municipal de Serviços e Obras Públicas - SESOP/CG-MS"
"58807","Programa de Recuperação e Preservação das Áreas Degradadas do Córrego Sóter","CÓRREGO SÓTER/Cpo. Gde-MS","FONPLATA","6148000.0","Estado do Mato Grosso do Sul","907","Wanda Dias Fonseca Taquary","Urbanismo","(61) 2020-4847","Finalizada","15/05/2002 00:00","15/03/2005 00:00","Municipal","2272","Financiamento","491","Prefeitura Municipal de Campo Grande - MS"
"59252","Projeto de Melhoria e Expansão da Infra-Estrutura Urbana de Corumbá/MS","PROJETO CURUPAH","FONPLATA","3217000.0","Estado do Mato Grosso do Sul","920","Necy Yonamine","Urbanismo","(61) 2020-4811","Arquivado","","","Municipal","2272","Financiamento","766","Secretaria Municipal de Infra-Estrutura da Prefeitura Municipal de Corumbá -MS"
"59350","Projeto de Preservação Ambiental do Córrego dos Bugres e Integração Viária Urbana de Maracaju - MS","Revitalização do Córrego dos Bugres","FONPLATA","2460000.0","Estado do Mato Grosso do Sul","963","Leny Maria Corazza","Urbanismo","(61) 2020-4358","Arquivado","","","Municipal","2272","Financiamento","78","Prefeitura Municipal de Macaraju - MS"
"59349","Projeto de Contenção de Erosão e Preservação Ambiental da Bacia do Córrego do Baile - MS","Projeto Córrego do Baile - MS","FONPLATA","3768000.0","Estado do Mato Grosso do Sul","974","Leny Maria Corazza","Urbanismo","(61) 2020-4358","Arquivado","","","Municipal","2272","Financiamento","86","Prefeitura Municipal de Nova Andradina - MS"
"59360","Projeto de Recuperação e Preservação Ambiental do Córrego Ponta Porã - MS","Córrego Ponta Porã - MS","FONPLATA","4321000.0","Estado do Mato Grosso do Sul","989","Cadmo Soares Gomes","Urbanismo","","Arquivado","","","Municipal","2272","Financiamento","749","Secretaria Municipal da Fazenda de Ponta Porã - MS"
"59392","Projeto de Recuperação, Preservação Ambiental e Estruturação Viária da Região do Rio Vacaria - Sidrolândia - MS","Projeto Viva Vacaria","FONPLATA","3645000.0","Estado do Mato Grosso do Sul","1027","Ronald Ferreira de Melo","Urbanismo","(61) 2020-4814","Arquivado","","","Municipal","2272","Financiamento","760","Secretaria Municipal de Fazenda de Sidrolândia - MS"
"59253","Projeto de Desenvolvimento Socioambiental de Três Lagoas - MS","Três Lagoas - MS","FONPLATA","3618000.0","Estado do Mato Grosso do Sul","1039","Wanda Dias Fonseca Taquary","Saneamento","(61) 2020-4847","Arquivado","","","Municipal","2272","Financiamento","687","Secretaria de Obras e Serviços Urbanos"
"59595","Programa de Desenvolvimento da Administração Fazendária","PROFISCO - MT","BID","1.5032E7","Estado do Mato Grosso","843","Isis Smidt Lara Resende","Administração","(61) 2020-4832","Em execução","20/12/2012 00:00","20/12/2016 00:00","Estadual","2272","Financiamento","637","Secretaria de Estado de Fazenda do Mato Grosso"
"59840","Programa de Inovação para o Desenvolvimento Regional Sustentável de Mato Grosso","MT INOVAÇÃO","BID","3.0E8","Estado do Mato Grosso","843","Rosangela Moreira Castelo Branco","Ciência e Tecnologia","(61) 2020-4809","Arquivado","","","Estadual","2272","Financiamento","0",""
"59033","Projeto Cadastro de Terras Multifinalitário","CADASTRO TERRAS MULT - MT","BIRD","5000000.0","Estado do Mato Grosso","843","Leny Maria Corazza","Agricultura","(61) 2020-4358","Arquivado","","","Estadual","2272","Financiamento","0",""
"58187","Reforma do Estado - Mato Grosso","REFORMA - MT","BIRD","4.5E7","Estado do Mato Grosso","843","Jandira Rocha Carvalho","Administração","","Finalizada","30/03/1999 00:00","31/12/2001 00:00","Estadual","2272","Financiamento","0",""
"59867","Refinanciamento e Recomposição do Principal de Dívidas do Estado do Mato Grosso","Dívida MT","Bank of America","6.73800156E8","Estado do Mato Grosso","843","Tânia Delfino Ribeiro","Encargos Especiais","(61) 2020-4819","Finalizada","10/09/2012 00:00","10/09/2012 00:00","Estadual","2272","Financiamento","637","Secretaria de Estado de Fazenda do Mato Grosso"
